"Story","Title","Result","Date","Stability","Duration (s)"
"Crear ruta de aprendizaje","crear rutas de aprendizaje de manera exitosa","SUCCESS","2023-04-25T19:38:39.9783811-05:00[America/Bogota]","0.0","11.61"
"Crear ruta de aprendizaje","crear rutas de aprendizaje  agregando cursos que no existen","SUCCESS","2023-04-25T19:38:51.6153681-05:00[America/Bogota]","0.0","0.49"
"Crear ruta de aprendizaje","crear rutas de aprendizaje sin cursos","SUCCESS","2023-04-25T19:38:52.1319296-05:00[America/Bogota]","0.0","0.48"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con campos vacíos","SUCCESS","2023-04-25T19:38:52.6316783-05:00[America/Bogota]","0.0","1.42"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con caracteres especiales","FAILURE","2023-04-25T19:38:54.069564-05:00[America/Bogota]","0.0","4.01"
"Crear ruta de aprendizaje","crear rutas de aprendizaje que ya existe","FAILURE","2023-04-25T19:38:58.1021179-05:00[America/Bogota]","0.0","0.52"
