"Story","Title","Result","Date","Stability","Duration (s)"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje de manera exitosa","SUCCESS","2023-04-25T19:38:03.1705613-05:00[America/Bogota]","0.0","13.31"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje dejando campos vacios","SUCCESS","2023-04-25T19:38:16.5024189-05:00[America/Bogota]","0.0","1.95"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje sin un id de administrador","SUCCESS","2023-04-25T19:38:18.46843-05:00[America/Bogota]","0.0","1.46"
"Editar curso del campus MatCafe","Intentar editar un curso de aprendizaje que no existe","SUCCESS","2023-04-25T19:38:19.9503702-05:00[America/Bogota]","0.0","1.42"
